Longitud Sexa finca;Latitud Sexa finca;Municipio Finca;HORA INICIO TURNO;HORA FIN TURNO;FINCA;FECHA;lat_decimal;lon_decimal;fecha_dt;hora_inicio_turno_dt;hora_fin_turno_dt;fecha_clima;lat_key;lon_key;fecha_key;clima_fuente;clima_temp_promedio_dia_c;clima_temp_min_dia_c;clima_temp_max_dia_c;clima_precipitacion_dia_mm;clima_viento_promedio_dia_kmh;clima_presion_promedio_dia_hpa;clima_horas_validas_dia;clima_horas_lluvia_dia;clima_observacion_dia;clima_estado_dia;fue_lluvioso_dia;clima_imputado
75°50'28.7''W;4°10'32.5''N;Sevilla;6:00:00;14:00:00;13INDOS;01/01/2026;4.175694444;-75.84130556;01/01/2026;01/01/2026 6:00;01/01/2026 14:00;01/01/2026;4.17569;-75.84131;01/01/2026;Open-Meteo Archive;17.4;12.9;22.9;22.1;10;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
75°50'28.7''W;4°10'32.5''N;Sevilla;14:00:00;22:00:00;13INDOS;01/01/2026;4.175694444;-75.84130556;01/01/2026;01/01/2026 14:00;01/01/2026 22:00;01/01/2026;4.17569;-75.84131;01/01/2026;Open-Meteo Archive;17.4;12.9;22.9;22.1;10;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
75°51'47.2''W;4°07'04.0''N;Sevilla;6:00:00;14:00:00;13CRIST;01/01/2026;4.117777778;-75.86311111;01/01/2026;01/01/2026 6:00;01/01/2026 14:00;01/01/2026;4.11778;-75.86311;01/01/2026;Open-Meteo Archive;15.2;10.7;20.1;13.3;8.5;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
75°51'47.2''W;4°07'04.0''N;Sevilla;14:00:00;22:00:00;13CRIST;01/01/2026;4.117777778;-75.86311111;01/01/2026;01/01/2026 14:00;01/01/2026 22:00;01/01/2026;4.11778;-75.86311;01/01/2026;Open-Meteo Archive;15.2;10.7;20.1;13.3;8.5;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
75°50'28.7''W;4°10'32.5''N;Sevilla;6:00:00;14:00:00;13INDOS;02/01/2026;4.175694444;-75.84130556;02/01/2026;02/01/2026 6:00;02/01/2026 14:00;02/01/2026;4.17569;-75.84131;02/01/2026;Open-Meteo Archive;16.8;14.4;19.6;8.5;5.5;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
75°50'28.7''W;4°10'32.5''N;Sevilla;14:00:00;22:00:00;13INDOS;02/01/2026;4.175694444;-75.84130556;02/01/2026;02/01/2026 14:00;02/01/2026 22:00;02/01/2026;4.17569;-75.84131;02/01/2026;Open-Meteo Archive;16.8;14.4;19.6;8.5;5.5;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
75°51'47.2''W;4°07'04.0''N;Sevilla;6:00:00;14:00:00;13CRIST;02/01/2026;4.117777778;-75.86311111;02/01/2026;02/01/2026 6:00;02/01/2026 14:00;02/01/2026;4.11778;-75.86311;02/01/2026;Open-Meteo Archive;14.7;12.1;17.6;2.6;7.7;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
75°51'47.2''W;4°07'04.0''N;Sevilla;14:00:00;22:00:00;13CRIST;02/01/2026;4.117777778;-75.86311111;02/01/2026;02/01/2026 14:00;02/01/2026 22:00;02/01/2026;4.11778;-75.86311;02/01/2026;Open-Meteo Archive;14.7;12.1;17.6;2.6;7.7;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
76°15'47.6''W;4°25'33.3''N;Bolivar;6:00:00;14:00:00;35PLAYA;02/01/2026;4.425916667;-76.26322222;02/01/2026;02/01/2026 6:00;02/01/2026 14:00;02/01/2026;4.42592;-76.26322;02/01/2026;Open-Meteo Archive;14.5;13.7;16.2;9.6;10.3;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
76°15'47.6''W;4°25'33.3''N;Bolivar;14:00:00;22:00:00;35PLAYA;02/01/2026;4.425916667;-76.26322222;02/01/2026;02/01/2026 14:00;02/01/2026 22:00;02/01/2026;4.42592;-76.26322;02/01/2026;Open-Meteo Archive;14.5;13.7;16.2;9.6;10.3;;;;Dato obtenido por fallback Open-Meteo;Lluvioso;Sí;No
